Metric,Step,Value
test_r2_170300020101,0,0.8905285596847534
test_mse_170300020105,0,0.006563880480825901
test_mse_170300020308,0,0.0003616682952269912
test_r2_170300010101,0,0.9357234239578247
test_r2_170300010105,0,0.8784849047660828
test_mse_170300010301,0,0.008675148710608482
test_mse_170300010305,0,0.02258237637579441
test_r2_170300020104,0,0.8965539932250977
test_mse_170300020201,0,0.009880244731903076
test_mse_170300020204,0,0.01089419610798359
test_kge_170300020204,0,0.8698528586026476
test_mse_170300020301,0,0.005656545050442219
test_r2_170300020202,0,0.8368614912033081
test_r2_170300020204,0,0.9244093298912048
test_mse_170300020205,0,0.002156522823497653
test_r2_170300020301,0,0.9159778952598572
test_r2_170300020306,0,0.8347510695457458
test_r2_170300020309,0,0.9401429295539856
test_kge_170300010101,0,0.7849169426304747
test_kge_170300010301,0,0.8553860695279731
test_r2_170300020102,0,0.932945966720581
test_r2_170300020103,0,0.8918878436088562
test_r2_170300020107,0,0.9290779232978821
test_r2_170300020108,0,0.9391214847564697
test_r2_170300020205,0,0.9342342615127563
test_kge_170300020309,0,0.967105354827209
test_mse_170300010104,0,0.006212662905454636
test_kge_170300010504,0,0.7410925665840652
test_mse_170300010509,0,0.012872487306594849
test_r2_170300010601,0,0.929329514503479
test_mse_170300010602,0,0.0004677386023104191
test_r2_170300010701,0,0.7483478784561157
test_r2_170300020106,0,0.933349072933197
test_mse_170300020107,0,0.007093588821589947
test_kge_170300020107,0,0.8505616099698676
test_r2_170300020303,0,0.9538137912750244
test_mse_170300010201,0,0.002699864562600851
test_mse_170300010202,0,0.0097034377977252
test_r2_170300010302,0,0.9247099161148071
test_r2_170300010402,0,0.9409826993942261
test_kge_170300010701,0,0.6094671996693775
test_mse_170300020106,0,0.011347422376275063
test_r2_170300020302,0,0.957611620426178
test_r2_170300020307,0,0.5506550073623657
test_r2_170300010401,0,0.8442897200584412
test_r2_170300010503,0,0.9272716045379639
test_kge_170300010508,0,0.9694178550199847
test_mse_170300010603,0,0.0004112075548619032
test_kge_170300020102,0,0.8772681527518174
test_mse_170300020103,0,0.008672012016177177
test_mse_170300020109,0,0.001637242385186255
test_kge_170300020201,0,0.4914943808171529
test_mse_170300020202,0,0.003629846265539527
test_kge_170300020202,0,0.6327901066987676
test_kge_170300020302,0,0.9051891234503268
test_mse_170300020304,0,0.0018156698206439614
test_kge_170300020307,0,0.2653956883560542
test_kge_170300020308,0,0.9003888145808306
test_r2_170300020308,0,0.9286476969718933
test_r2_170300010203,0,0.9205895662307739
test_r2_170300010305,0,0.8323107957839966
test_kge_170300010401,0,0.751647759824255
test_kge_170300010603,0,0.6961222392752422
test_mse_170300010701,0,0.00022163624817039818
test_r2_170300020105,0,0.9373310804367065
test_mse_170300020203,0,0.003309854306280613
test_r2_170300020203,0,0.8895681500434875
test_mse_170300010101,0,0.011511079035699368
test_kge_170300010202,0,0.6745936487477495
test_mse_170300010402,0,0.0010762676829472184
test_kge_170300020101,0,0.7411855304376189
test_mse_170300020302,0,0.003841840196400881
test_mse_170300020307,0,0.007781325839459896
test_r2_170300010102,0,0.9004819989204407
test_mse_170300010205,0,0.0005195268313400447
test_r2_170300010205,0,0.8915098905563354
test_mse_170300010501,0,0.0018692734884098172
test_kge_170300020104,0,0.7959830943031134
test_kge_170300020109,0,0.9511198581118092
test_r2_170300020201,0,0.7275936007499695
test_mse_170300020206,0,0.0040790908969938755
test_kge_170300020303,0,0.917258475768544
test_mse_170300020306,0,0.0044592260383069515
test_mse_170300010103,0,0.05068248510360718
test_kge_170300010103,0,0.5744673006489911
test_kge_170300010105,0,0.8094215832896224
test_r2_170300010201,0,0.9639660716056824
test_mse_170300010203,0,0.0024799031671136618
test_mse_170300010302,0,0.007021082565188408
test_r2_170300010303,0,0.8045233488082886
test_kge_170300010305,0,0.6298883078175835
test_kge_170300010402,0,0.9477276202903112
test_kge_170300010501,0,0.687791884859637
test_mse_170300010504,0,0.0021834936924278736
test_kge_170300020103,0,0.7670057612941885
test_mse_170300020104,0,0.013932769186794758
test_mse_170300020108,0,0.004204362630844116
test_kge_170300020205,0,0.8046934436527773
test_kge_170300020206,0,0.811952558515153
test_kge_170300020301,0,0.877714138732506
test_r2_170300010103,0,0.7725196480751038
test_r2_170300010104,0,0.9240113496780396
test_kge_170300010203,0,0.8598522798456323
test_kge_170300010204,0,0.9223174293451063
test_kge_170300010302,0,0.8539935491557189
test_kge_170300010303,0,0.5768551403511879
test_mse_170300020102,0,0.0042885178700089455
test_kge_170300020108,0,0.8737366080937895
test_mse_170300020303,0,0.0035078274086117744
test_mse_170300010102,0,0.018615353852510452
test_r2_170300010204,0,0.9167826771736145
test_kge_170300010205,0,0.8665234462383766
test_r2_170300010301,0,0.9257161617279053
test_r2_170300010508,0,0.9527594447135925
test_kge_170300020105,0,0.9316791230186076
test_kge_170300020106,0,0.8304311524984305
test_r2_170300020109,0,0.9381723999977112
test_r2_170300020206,0,0.9126665592193604
test_r2_170300020304,0,0.9487009048461914
test_kge_170300010102,0,0.7100498775895261
test_kge_170300010104,0,0.7962983518551531
test_mse_170300020101,0,0.01135337632149458
test_kge_170300020203,0,0.7693951850679691
test_kge_170300020304,0,0.9526950226977541
test_kge_170300010201,0,0.9086565858370275
test_r2_170300010202,0,0.8745089769363403
test_mse_170300010508,0,0.002642612438648939
test_kge_170300020306,0,0.6704240108558857
test_mse_170300020309,0,0.000988848740234971
test_mse_170300010105,0,0.0027345570269972086
test_mse_170300010204,0,0.0011418652720749378
test_mse_170300010303,0,0.02699550986289978
test_r2_170300010501,0,0.8222790360450745
test_r2_170300010504,0,0.8501859903335571
test_kge_170300010509,0,0.5330462342760298
test_r2_170300010509,0,0.7712913751602173
test_mse_170300010401,0,0.005003902595490217
test_mse_170300010601,0,0.0004038531333208084
test_kge_170300010601,0,0.8526162740074096
test_r2_170300010603,0,0.8683364987373352
test_mse_170300010503,0,0.006509757600724697
test_kge_170300010503,0,0.8648012909601929
test_kge_170300010602,0,0.9495482910726325
test_r2_170300010602,0,0.9430669546127319
